,close,ret
2017/8/10,2611.34,-0.34
2017/8/9,2620.38,-0.56
2017/8/8,2635.18,0.04
2017/8/7,2634.18,0.24
2017/8/4,2627.8,-0.7
2017/8/3,2646.22,-1.28
2017/8/2,2680.63,-0.04
2017/8/1,2681.81,1.66
2017/7/31,2638.12,0.07
2017/7/28,2636.39,-0.01
2017/7/27,2636.63,0.02
2017/7/26,2636.2,-0.26
2017/7/25,2643.07,-0.43
2017/7/24,2654.38,0.57
2017/7/21,2639.21,-0.98
2017/7/20,2665.45,0.28
2017/7/19,2657.89,1.28
2017/7/18,2624.31,-0.27
2017/7/17,2631.41,0.32
2017/7/14,2622.98,0.85
2017/7/13,2600.95,1.4
2017/7/12,2565.14,-0.21
2017/7/11,2570.59,0.8
2017/7/10,2550.11,0.25
2017/7/7,2543.66,-0.4
2017/7/6,2553.88,0.23
2017/7/5,2548.1,1.47
2017/7/4,2511.15,-0.92
2017/7/3,2534.37,-0.61
2017/6/30,2549.97,-0.12
2017/6/29,2552.98,0.6
2017/6/28,2537.64,-0.67
2017/6/27,2554.7,0.45
2017/6/26,2543.32,0.56
2017/6/23,2529.1,0.49
2017/6/22,2516.67,0.78
2017/6/21,2497.25,0.92
2017/6/20,2474.43,-0.39
2017/6/19,2484.12,1.28
2017/6/16,2452.79,-0.37
2017/6/15,2461.97,-0.62
2017/6/14,2477.32,-1.5
2017/6/13,2515.14,-0.24
2017/6/12,2521.17,0.08
2017/6/9,2519.27,0.49
2017/6/8,2507.03,0.93
2017/6/7,2484.03,0.73
2017/6/6,2466.01,0.64
2017/6/5,2450.35,-1.01
2017/6/2,2475.46,-0.84
2017/6/1,2496.45,0.7
2017/5/31,2479.08,0.32
2017/5/26,2471.21,-0.09
2017/5/25,2473.5,2.74
2017/5/24,2407.57,-0.18
2017/5/23,2411.8,1.27
2017/5/22,2381.55,0.84
2017/5/19,2361.66,0.29
2017/5/18,2354.75,-0.37
2017/5/17,2363.56,-0.75
2017/5/16,2381.32,-0.02
2017/5/15,2381.75,0.27
2017/5/12,2375.45,1.55
2017/5/11,2339.29,0.62
2017/5/10,2324.92,0.37
